"delta","sigma","IA_N","FA_N","N_max","Pr_fav","Pr_prom","Pr_unfav","Sig_fixed","Sig_fixed_fav","Sig_fixed_prom","Sig_fixed_unfav","Sig_ada","Sig_ada_fav","Sig_ada_prom","Sig_ada_unfav","ASN","ASN_fav","ASN_prom","ASN_unfav"
1.25,5,208,442,884,0.5017,0.2209,0.2774,0.7403,0.920669722941997,0.718877320054323,0.431146359048306,0.7774,0.920669722941997,0.886826618379357,0.431146359048306,494.1395,442,678.03214124038,442
1.26,5,208,442,884,0.5209,0.2198,0.2593,0.7462,0.926665386830486,0.71565059144677,0.409564211338218,0.7874,0.926665386830486,0.903093721565059,0.409564211338218,494.4441,442,680.599181073703,442
1.27,5,208,442,884,0.5308,0.2194,0.2498,0.7644,0.930859080633007,0.736098450319052,0.435548438751001,0.8021,0.930859080633007,0.907930720145852,0.435548438751001,495.2188,442,684.56517775752,442
1.28,5,208,442,884,0.5301,0.2171,0.2528,0.7643,0.930579136012073,0.740672501151543,0.435917721518987,0.7999,0.930579136012073,0.904652233993551,0.435917721518987,492.9795,442,676.820359281437,442
1.29,5,208,442,884,0.5341,0.2152,0.2507,0.7747,0.937839355925857,0.75185873605948,0.446749102512964,0.8108,0.937839355925857,0.919609665427509,0.446749102512964,492.7865,442,677.996747211896,442
1.3,5,208,442,884,0.5423,0.2149,0.2428,0.7764,0.93767287479255,0.760818985574686,0.42998352553542,0.8111,0.93767287479255,0.922289436947417,0.42998352553542,492.0552,442,674.923220102373,442
1.31,5,208,442,884,0.5546,0.2105,0.2349,0.7789,0.937071763433105,0.74061757719715,0.439761600681141,0.8163,0.937071763433105,0.918289786223278,0.439761600681141,492.0129,442,679.590973871734,442
1.32,5,208,442,884,0.5511,0.2147,0.2342,0.7915,0.940482671021593,0.753609687936656,0.475661827497865,0.8268,0.940482671021593,0.91802515137401,0.475661827497865,493.7665,442,683.110852352119,442
1.33,5,208,442,884,0.557,0.2225,0.2205,0.8024,0.94524236983842,0.780674157303371,0.463492063492064,0.8345,0.94524236983842,0.924943820224719,0.463492063492064,495.0459,442,680.408539325843,442
1.34,5,208,442,884,0.564,0.2057,0.2303,0.8002,0.948936170212766,0.782693242586291,0.451584889274859,0.8299,0.948936170212766,0.927078269324259,0.451584889274859,490.9617,442,680.02479338843,442
1.35,5,208,442,884,0.5579,0.2153,0.2268,0.8096,0.951424986556731,0.786344635392476,0.482804232804233,0.8418,0.951424986556731,0.935903390617743,0.482804232804233,492.1405,442,674.886669763121,442
1.36,5,208,442,884,0.5731,0.2082,0.2187,0.8108,0.947304135403943,0.78626320845341,0.476451760402378,0.8419,0.947304135403943,0.935638808837656,0.476451760402378,490.8758,442,676.754082612872,442
1.37,5,208,442,884,0.5859,0.2033,0.2108,0.8292,0.955965181771633,0.789473684210526,0.515180265654649,0.858,0.955965181771633,0.931136251844565,0.515180265654649,489.2136,442,674.23610427939,442
1.38,5,208,442,884,0.5864,0.2123,0.2013,0.8264,0.952592087312415,0.773433820065944,0.514654744162941,0.8591,0.952592087312415,0.927461139896373,0.514654744162941,492.7293,442,680.951012717852,442
1.39,5,208,442,884,0.5953,0.1959,0.2088,0.8236,0.95397278683017,0.783563042368555,0.489463601532567,0.8541,0.95397278683017,0.939254721796835,0.489463601532567,488.841,442,681.106687085248,442
1.4,5,208,442,884,0.6021,0.1987,0.1992,0.8401,0.95249958478658,0.813789632611978,0.526606425702811,0.8656,0.95249958478658,0.94212380473075,0.526606425702811,489.5697,442,681.404630095622,442
1.41,5,208,442,884,0.6112,0.1959,0.1929,0.8451,0.957297120418848,0.818274629913221,0.51684810782789,0.869,0.957297120418848,0.940275650842266,0.51684810782789,487.4884,442,674.202143950995,442
1.42,5,208,442,884,0.6149,0.1935,0.1916,0.8423,0.956253049276305,0.800516795865633,0.518789144050104,0.8696,0.956253049276305,0.941602067183463,0.518789144050104,487.8471,442,678.935917312661,442
1.43,5,208,442,884,0.6201,0.199,0.1809,0.8566,0.963715529753266,0.812060301507538,0.538419016030956,0.8823,0.963715529753266,0.941206030150754,0.538419016030956,488.5773,442,676.056783919598,442
1.44,5,208,442,884,0.6262,0.1874,0.1864,0.854,0.966464388374321,0.7982924226254,0.532188841201717,0.8812,0.966464388374321,0.943436499466382,0.532188841201717,486.2358,442,678.050160085379,442
1.45,5,208,442,884,0.6273,0.19,0.1827,0.8565,0.963494340825761,0.812631578947368,0.534756431308155,0.8812,0.963494340825761,0.942631578947368,0.534756431308155,484.2472,442,664.353684210526,442
1.46,5,208,442,884,0.6328,0.1931,0.1741,0.8616,0.96634007585335,0.829621957534956,0.516369902354968,0.8853,0.96634007585335,0.952356292076644,0.516369902354968,486.1767,442,670.776281719316,442
1.47,5,208,442,884,0.6454,0.179,0.1756,0.8636,0.963278586922839,0.811731843575419,0.550113895216401,0.8884,0.963278586922839,0.950279329608939,0.550113895216401,483.3209,442,672.843016759777,442
1.48,5,208,442,884,0.6441,0.19,0.1659,0.877,0.966464834653004,0.831578947368421,0.581675708257987,0.8995,0.966464834653004,0.95,0.581675708257987,485.5946,442,671.445263157895,442
1.49,5,208,442,884,0.6367,0.1923,0.171,0.8796,0.972514528035181,0.84659386375455,0.570760233918129,0.9008,0.972514528035181,0.956838273530941,0.570760233918129,486.1804,442,671.747269890796,442
1.5,5,208,442,884,0.6548,0.1797,0.1655,0.8759,0.968540012217471,0.822481914301614,0.567371601208459,0.8997,0.968540012217471,0.954924874791319,0.567371601208459,483.7105,442,674.111853088481,442
1.51,5,208,442,884,0.6618,0.1842,0.154,0.8821,0.968419462073134,0.830618892508143,0.572727272727273,0.9042,0.968419462073134,0.950597176981542,0.572727272727273,486.3026,442,682.513572204126,442
1.52,5,208,442,884,0.6664,0.1785,0.1551,0.8852,0.967587034813926,0.841456582633053,0.581560283687943,0.9059,0.967587034813926,0.957422969187675,0.581560283687943,483.4898,442,674.435854341737,442
1.53,5,208,442,884,0.6657,0.1776,0.1567,0.8957,0.971909268439237,0.856418918918919,0.616464582003829,0.9154,0.971909268439237,0.967342342342342,0.616464582003829,483.7261,442,676.944256756757,442
1.54,5,208,442,884,0.6694,0.175,0.1556,0.8949,0.972512697938452,0.858857142857143,0.601542416452442,0.9122,0.972512697938452,0.957714285714286,0.601542416452442,482.2332,442,671.904,442
1.55,5,208,442,884,0.6767,0.177,0.1463,0.8999,0.971922565390867,0.849717514124294,0.627477785372522,0.9206,0.971922565390867,0.966666666666667,0.627477785372522,482.7227,442,672.071751412429,442
1.56,5,208,442,884,0.6875,0.1735,0.139,0.9047,0.976872727272727,0.853602305475504,0.611510791366906,0.9233,0.976872727272727,0.960806916426513,0.611510791366906,480.3465,442,663.017291066282,442
1.57,5,208,442,884,0.6905,0.1707,0.1388,0.908,0.976393917451122,0.86174575278266,0.62463976945245,0.9268,0.976393917451122,0.971880492091388,0.62463976945245,481.3646,442,672.606912712361,442
1.58,5,208,442,884,0.6934,0.1713,0.1353,0.916,0.979521199884626,0.88733216579101,0.626755358462675,0.9299,0.979521199884626,0.968476357267951,0.626755358462675,479.9099,442,663.307063631057,442
