"delta","sigma","IA_N","FA_N","N_max","Pr_fav","Pr_prom","Pr_unfav","Sig_fixed","Sig_fixed_fav","Sig_fixed_prom","Sig_fixed_unfav","Sig_ada","Sig_ada_fav","Sig_ada_prom","Sig_ada_unfav","ASN","ASN_fav","ASN_prom","ASN_unfav"
0,6.6,208,442,884,0.0366,0.0844,0.879,0.0462,0.256830601092896,0.100710900473934,0.0321956769055745,0.0453,0.256830601092896,0.0900473933649289,0.0321956769055745,466.07,442,727.189573459716,442
0,6.7,208,442,884,0.036,0.0866,0.8774,0.0467,0.238888888888889,0.0946882217090069,0.0340779576020059,0.0458,0.238888888888889,0.0842956120092379,0.0340779576020059,466.8041,442,728.421478060046,442
0,6.8,208,442,884,0.0395,0.0781,0.8824,0.0451,0.227848101265823,0.087067861715749,0.0332048957388939,0.0458,0.227848101265823,0.0960307298335467,0.0332048957388939,464.2526,442,726.924455825864,442
0,6.9,208,442,884,0.0401,0.0807,0.8792,0.0507,0.27431421446384,0.0867410161090458,0.0371929026387625,0.051,0.27431421446384,0.090458488228005,0.0371929026387625,465.2736,442,730.396530359356,442
0,7,208,442,884,0.0374,0.0818,0.8808,0.0504,0.27807486631016,0.0831295843520782,0.0376930063578565,0.05,0.27807486631016,0.078239608801956,0.0376930063578565,465.2322,442,726.012224938875,442
0,7.1,208,442,884,0.0404,0.0803,0.8793,0.0449,0.242574257425743,0.0759651307596513,0.0329807801660412,0.0448,0.242574257425743,0.074719800747198,0.0329807801660412,464.6656,442,724.261519302615,442
0,7.2,208,442,884,0.0403,0.0822,0.8775,0.0499,0.280397022332506,0.0815085158150852,0.0363532763532764,0.0499,0.280397022332506,0.0815085158150852,0.0363532763532764,465.3159,442,725.648418491484,442
0,7.3,208,442,884,0.0465,0.0873,0.8662,0.0506,0.249462365591398,0.0939289805269187,0.0355576079427384,0.0503,0.249462365591398,0.0904925544100802,0.0355576079427384,467.0621,442,729.08018327606,442
0,7.4,208,442,884,0.0384,0.0806,0.881,0.0498,0.231770833333333,0.0818858560794045,0.0389330306469921,0.0496,0.231770833333333,0.0794044665012407,0.0389330306469921,464.7452,442,724.198511166253,442
0,7.5,208,442,884,0.0381,0.0823,0.8796,0.0509,0.249343832020997,0.0984204131227217,0.0378581173260573,0.0509,0.249343832020997,0.0984204131227217,0.0378581173260573,465.0675,442,722.285540704739,442
0,7.6,208,442,884,0.04,0.0798,0.8802,0.0505,0.3025,0.0864661654135338,0.0357873210633947,0.0498,0.3025,0.0776942355889724,0.0357873210633947,464.3854,442,722.518796992481,442
0,7.7,208,442,884,0.0419,0.0842,0.8739,0.0492,0.286396181384248,0.0855106888361045,0.0343288705801579,0.0488,0.286396181384248,0.0807600950118765,0.0343288705801579,465.4962,442,721.052256532067,442
0,7.8,208,442,884,0.0373,0.0841,0.8786,0.0532,0.265415549597855,0.0975029726516052,0.0399499203277942,0.0519,0.265415549597855,0.0820451843043995,0.0399499203277942,465.4009,442,720.250891795482,442
0,7.9,208,442,884,0.0384,0.0826,0.879,0.049,0.252604166666667,0.108958837772397,0.0344709897610921,0.0476,0.252604166666667,0.0920096852300242,0.0344709897610921,465.5688,442,727.336561743341,442
0,8,208,442,884,0.0399,0.077,0.8831,0.0486,0.25062656641604,0.0831168831168831,0.0364624617823576,0.0489,0.25062656641604,0.087012987012987,0.0364624617823576,463.8927,442,726.320779220779,442
0,8.1,208,442,884,0.0386,0.0816,0.8798,0.0516,0.253886010362694,0.0919117647058824,0.0389861332120937,0.0513,0.253886010362694,0.0882352941176471,0.0389861332120937,465.0214,442,724.125,442
0,8.2,208,442,884,0.0361,0.0849,0.879,0.0494,0.293628808864266,0.0942285041224971,0.0350398179749716,0.0479,0.293628808864266,0.0765606595995289,0.0350398179749716,465.7084,442,721.250883392226,442
0,8.3,208,442,884,0.0409,0.0887,0.8704,0.0485,0.268948655256724,0.0755355129650507,0.0353860294117647,0.0495,0.268948655256724,0.0868094701240135,0.0353860294117647,467.3232,442,727.492671927847,442
0,8.4,208,442,884,0.0399,0.0803,0.8798,0.0516,0.265664160401002,0.0921544209215442,0.0381904978404183,0.0513,0.265664160401002,0.0884184308841843,0.0381904978404183,464.3569,442,720.417185554172,442
